trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
44,False,"{'a': 0.5, 'e': 0.14}",30,1,-135.95901276479813,"{0: 17, 1: 0, 2: 11, 3: 0, 4: 1}",1
45,False,"{'a': 0.5, 'e': 0.12}",30,0,-197.55900556092772,"{0: 20, 1: 0, 2: 6, 3: 0, 4: 4}",0
46,False,"{'a': 0.5, 'e': 0.09999999999999998}",30,0,-36.631041776763496,"{0: 24, 1: 0, 2: 6, 3: 0, 4: 0}",0
47,False,"{'a': 0.5, 'e': 0.07999999999999996}",25,0,-305.02210133239385,"{0: 11, 1: 0, 2: 8, 3: 0, 4: 6}",0
48,False,"{'a': 0.5, 'e': 0.05999999999999994}",20,0,-139.1949852404657,"{0: 14, 1: 0, 2: 3, 3: 0, 4: 3}",0
49,False,"{'a': 0.5, 'e': 0.040000000000000036}",20,15,-1.2070130162576476,"{0: 4, 1: 0, 2: 1, 3: 0, 4: 0}",1
1,True,"{'a': 0, 'e': 0}",30,11,-110.60627040875568,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 3}",1
2,True,"{'a': 0, 'e': 0}",20,0,-110.08388382887976,"{0: 14, 1: 0, 2: 4, 3: 0, 4: 2}",0
3,True,"{'a': 0, 'e': 0}",20,0,-284.2219321489382,"{0: 6, 1: 0, 2: 9, 3: 0, 4: 5}",0
4,True,"{'a': 0, 'e': 0}",20,0,-176.08817451454343,"{0: 10, 1: 0, 2: 7, 3: 0, 4: 3}",0
5,True,"{'a': 0, 'e': 0}",35,0,-264.1998682781312,"{0: 16, 1: 0, 2: 16, 3: 0, 4: 3}",0
6,True,"{'a': 0, 'e': 0}",20,0,-98.72449673522964,"{0: 12, 1: 0, 2: 7, 3: 0, 4: 1}",0
7,True,"{'a': 0, 'e': 0}",30,0,-234.98176590473074,"{0: 17, 1: 0, 2: 9, 3: 0, 4: 4}",0
8,True,"{'a': 0, 'e': 0}",20,2,-30.10651866373301,"{0: 14, 1: 0, 2: 3, 3: 1, 4: 0}",1
9,True,"{'a': 0, 'e': 0}",30,13,-78.92870584220667,"{0: 12, 1: 0, 2: 3, 3: 1, 4: 1}",1
10,True,"{'a': 0, 'e': 0}",35,19,-57.78128707293773,"{0: 9, 1: 0, 2: 7, 3: 0, 4: 0}",1
