trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
42,False,"{'a': 0.9, 'e': 0.8541722899675755}",30,11,-61.99071037326154,"{0: 14, 1: 0, 2: 4, 3: 0, 4: 1}",1
43,False,"{'a': 0.9, 'e': 0.8510232703803052}",25,0,-93.68163160232741,"{0: 18, 1: 0, 2: 5, 3: 1, 4: 1}",0
44,False,"{'a': 0.9, 'e': 0.8478916326662121}",30,0,-216.84802922961097,"{0: 18, 1: 2, 2: 5, 3: 1, 4: 4}",0
45,False,"{'a': 0.9, 'e': 0.844777249134948}",20,0,-57.84373601982476,"{0: 14, 1: 1, 2: 3, 3: 2, 4: 0}",0
46,False,"{'a': 0.9, 'e': 0.84167999326656}",25,0,-73.73947633110583,"{0: 15, 1: 3, 2: 6, 3: 1, 4: 0}",0
47,False,"{'a': 0.9, 'e': 0.8385997396986407}",30,0,-174.08636715715025,"{0: 20, 1: 2, 2: 4, 3: 1, 4: 3}",0
48,False,"{'a': 0.9, 'e': 0.8355363642136432}",20,0,-208.28080668497904,"{0: 9, 1: 1, 2: 5, 3: 2, 4: 3}",0
49,False,"{'a': 0.9, 'e': 0.8324897437263571}",20,0,-113.32620762951419,"{0: 14, 1: 0, 2: 3, 3: 1, 4: 2}",0
50,False,"{'a': 0.9, 'e': 0.8294597562715451}",20,0,-138.68438195665837,"{0: 12, 1: 3, 2: 2, 3: 0, 4: 3}",0
51,False,"{'a': 0.9, 'e': 0.8264462809917354}",25,0,-195.32419355603227,"{0: 13, 1: 1, 2: 7, 3: 1, 4: 3}",0
52,False,"{'a': 0.9, 'e': 0.8234491981251707}",20,5,-49.16667276034967,"{0: 12, 1: 0, 2: 1, 3: 1, 4: 1}",1
53,False,"{'a': 0.9, 'e': 0.8204683889939087}",25,0,-34.52689412028935,"{0: 19, 1: 1, 2: 5, 3: 0, 4: 0}",0
54,False,"{'a': 0.9, 'e': 0.8175037359920734}",30,0,-178.06020884574664,"{0: 17, 1: 1, 2: 9, 3: 1, 4: 2}",0
55,False,"{'a': 0.9, 'e': 0.8145551225742547}",25,0,-38.88198208512641,"{0: 19, 1: 3, 2: 2, 3: 1, 4: 0}",0
56,False,"{'a': 0.9, 'e': 0.8116224332440547}",25,0,-34.48534238439062,"{0: 20, 1: 2, 2: 1, 3: 2, 4: 0}",0
57,False,"{'a': 0.9, 'e': 0.8087055535427771}",30,0,-164.61116962470444,"{0: 18, 1: 2, 2: 7, 3: 1, 4: 2}",0
58,False,"{'a': 0.9, 'e': 0.8058043700382594}",20,0,-101.92247877958829,"{0: 12, 1: 0, 2: 6, 3: 1, 4: 1}",0
59,False,"{'a': 0.9, 'e': 0.8029187703138446}",20,0,-103.93395791300713,"{0: 14, 1: 2, 2: 1, 3: 1, 4: 2}",0
60,False,"{'a': 0.9, 'e': 0.8000486429574917}",25,0,-65.26629146655769,"{0: 19, 1: 1, 2: 4, 3: 0, 4: 1}",0
61,False,"{'a': 0.9, 'e': 0.7971938775510203}",20,0,-133.05511592026787,"{0: 11, 1: 1, 2: 4, 3: 3, 4: 1}",0
62,False,"{'a': 0.9, 'e': 0.7943543646594923}",20,0,-66.07334456594172,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
63,False,"{'a': 0.9, 'e': 0.7915299958207215}",20,10,-7.220714401329943,"{0: 8, 1: 0, 2: 2, 3: 0, 4: 0}",1
64,False,"{'a': 0.9, 'e': 0.78872066353492}",20,15,11.800680883754168,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
65,False,"{'a': 0.9, 'e': 0.785926261254464}",30,0,-109.68612973870131,"{0: 19, 1: 2, 2: 8, 3: 0, 4: 1}",0
66,False,"{'a': 0.9, 'e': 0.7831466833737961}",35,10,-75.17922142771154,"{0: 19, 1: 0, 2: 4, 3: 1, 4: 1}",1
67,False,"{'a': 0.9, 'e': 0.7803818252194432}",25,0,-98.48518114184908,"{0: 15, 1: 1, 2: 7, 3: 2, 4: 0}",0
68,False,"{'a': 0.9, 'e': 0.7776315830401663}",20,0,-92.60716428977176,"{0: 13, 1: 1, 2: 4, 3: 1, 4: 1}",0
69,False,"{'a': 0.9, 'e': 0.7748958539972226}",25,15,-45.221748240833776,"{0: 7, 1: 1, 2: 1, 3: 0, 4: 1}",1
70,False,"{'a': 0.9, 'e': 0.7721745361547562}",30,0,-133.53086206331886,"{0: 21, 1: 1, 2: 4, 3: 2, 4: 2}",0
71,False,"{'a': 0.9, 'e': 0.7694675284702984}",25,0,-147.98959457579363,"{0: 16, 1: 3, 2: 3, 3: 0, 4: 3}",0
72,False,"{'a': 0.9, 'e': 0.766774730785392}",20,0,-112.10373431745539,"{0: 13, 1: 1, 2: 3, 3: 1, 4: 2}",0
73,False,"{'a': 0.9, 'e': 0.7640960438163233}",25,0,-3.3256798309000564,"{0: 21, 1: 2, 2: 2, 3: 0, 4: 0}",0
74,False,"{'a': 0.9, 'e': 0.7614313691449737}",25,0,-82.61749839068692,"{0: 18, 1: 1, 2: 4, 3: 1, 4: 1}",0
75,False,"{'a': 0.9, 'e': 0.7587806092097756}",20,0,-107.09763886919679,"{0: 12, 1: 3, 2: 3, 3: 0, 4: 2}",0
76,False,"{'a': 0.9, 'e': 0.7561436672967865}",30,0,-71.20172462471223,"{0: 21, 1: 2, 2: 5, 3: 2, 4: 0}",0
77,False,"{'a': 0.9, 'e': 0.7535204475308643}",30,19,11.78804482553567,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
78,False,"{'a': 0.9, 'e': 0.7509108548669536}",20,0,-71.55491244706401,"{0: 16, 1: 2, 2: 0, 3: 0, 4: 2}",0
79,False,"{'a': 0.9, 'e': 0.7483147950814767}",20,6,-49.60431552230356,"{0: 6, 1: 6, 2: 1, 3: 1, 4: 0}",1
80,False,"{'a': 0.9, 'e': 0.7457321747638267}",25,0,-173.99789312861657,"{0: 18, 1: 1, 2: 1, 3: 1, 4: 4}",0
